file,priority,rawInput,rawSelect,rawTextarea,inlineStyle,arbitraryZ,manualPalette,createPortal,rawTable,TextField,SelectField,TextareaField,SearchableSelectField,AppSearchField,ModalField,DialogShell,AppModal,DataTableShell,ManagementDirectoryTable
pages/partnerDetail/PartnerSettlementManualConfirmationModal.tsx,P2,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0
components/PriceInput.tsx,P2,1,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0
pages/partnerDetail/PartnerSettlementSubmitResultReviewSection.tsx,P2,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0
components/header/HeaderSearch.tsx,P2,1,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0
pages/reports/AllSalesLedgerReport.tsx,P2,0,0,0,0,0,114,0,1,0,5,0,0,1,0,0,0,1,0
components/reports/mlOperator/MlOperatorExportReadinessBoard.tsx,P2,0,0,0,1,0,113,0,0,0,0,0,0,0,0,0,0,0,0
components/reports/OfflineCandidateDataDriftBaselineMetadata.tsx,P2,0,0,0,0,0,111,0,2,0,0,0,0,0,0,0,0,2,0
components/reports/OfflineCandidateTrainingPackageQualitySnapshot.tsx,P2,0,0,0,0,0,111,0,1,0,0,0,0,0,0,0,0,1,0
components/SmartSalesAdvisor.tsx,P2,0,0,0,0,0,106,0,0,0,0,0,0,0,0,1,0,0,0
pages/partnerDetail/PartnerSettlementSubmitAttemptHistorySection.tsx,P2,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0
components/main-layout/NavigationBreadcrumbQuickPreview.tsx,P2,0,0,0,1,1,105,2,0,0,0,0,0,0,0,0,0,0,0
components/Notification.tsx,P2,0,0,0,2,0,103,0,0,0,0,0,0,0,0,0,0,0,0
components/reports/mlOperator/MlOperatorExecutiveSummarySnapshot.tsx,P2,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0
components/reports/mlOperator/MlOperatorManagerReviewChecklist.tsx,P2,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0
components/reports/mlOperator/MlOperatorSourceComparisonSnapshot.tsx,P2,0,0,0,1,0,99,0,0,0,0,0,0,0,0,0,0,0,0
components/SmsPatternStudioModal.tsx,P2,0,0,0,0,0,96,0,0,1,1,0,0,0,0,0,0,0,0
components/reports/OfflineCandidateDatasetSliceDiagnostics.tsx,P2,0,0,0,0,0,94,0,1,0,0,0,0,0,0,0,0,1,0
components/reports/OfflineCandidateMetricDrilldown.tsx,P2,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0
pages/AccountingReconciliationCenter.tsx,P2,0,0,0,0,0,93,0,1,0,3,0,0,1,0,0,1,1,0
components/reports/OfflineCandidateModelCardQualityScoring.tsx,P2,0,0,0,0,0,91,0,1,0,0,0,0,0,0,0,0,1,0
components/reports/mlWorkbenchImportDashboard/MetadataImportAnnotationPanel.tsx,P2,0,0,0,0,0,91,0,0,0,3,1,0,0,0,0,0,0,0
components/reports/mlOperator/MlOperatorPanels.tsx,P2,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0
pages/partnerDetail/PartnerFullSettlementModal.tsx,P2,0,0,0,0,0,90,0,0,0,2,1,0,0,0,0,0,0,0
components/reports/mlOperator/MlOperatorRiskAttentionQueue.tsx,P2,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0
pages/dashboard/AddWidgetModal.tsx,P2,1,0,0,0,0,88,0,0,0,0,0,0,0,0,1,0,0,0
components/TelegramTemplateTestModal.tsx,P2,0,0,0,0,0,88,0,0,1,1,0,1,0,0,0,0,0,0
components/CartTable.tsx,P2,1,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0
pages/partnerDetail/PartnerSettlementManagerSignoffPersistenceImplementationSection.tsx,P2,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0
pages/customerDetail/customerDetailControllerSupport.tsx,P2,0,0,0,1,0,86,0,0,0,0,0,0,0,0,0,0,0,0
components/reports/OfflineCandidateErrorAnalysisMetadata.tsx,P2,0,0,0,0,0,85,0,1,0,0,0,0,0,0,0,0,1,0
components/reports/OfflineCandidateRobustnessMetadata.tsx,P2,0,0,0,0,0,85,0,1,0,0,0,0,0,0,0,0,1,0
pages/customerDetail/CustomerLedgerEntryEditModal.tsx,P2,0,0,0,0,0,85,0,0,0,0,1,0,0,0,0,0,0,0
components/MiniAppDiagnosticCenter.tsx,P2,0,0,0,0,0,84,0,0,1,2,0,0,0,0,0,0,0,0
components/reports/OfflineCandidateCalibrationMetadata.tsx,P2,0,0,0,0,0,84,0,1,0,0,0,0,0,0,0,0,1,0
components/reports/OfflineCandidateThresholdScenarioMetadata.tsx,P2,0,0,0,0,0,84,0,1,0,0,0,0,0,0,0,0,1,0
components/reports/mlOperator/MlOperatorSourceHealthMatrix.tsx,P2,0,0,0,1,0,84,0,0,0,0,0,0,0,0,0,0,0,0
app/feedback/AppToaster.tsx,P2,0,0,0,1,0,83,0,0,0,0,0,0,0,0,0,0,0,0
components/reports/OfflineCandidateFeatureContractDriftMetadata.tsx,P2,0,0,0,0,0,83,0,1,0,0,0,0,0,0,0,0,1,0
pages/ProfilePage.tsx,P2,2,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0
pages/Services.tsx,P2,0,0,0,0,0,81,0,1,2,0,1,0,0,0,0,0,0,0
components/reports/mlOperator/MlOperatorTimelinePanel.tsx,P2,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0
pages/partnerDetail/PartnerSettlementManagerSignoffPersistenceContractSection.tsx,P2,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0
components/WorkflowWizard.tsx,P2,0,0,0,1,0,77,0,0,0,0,0,0,0,0,0,0,0,0
