file,category,domain,bytes,kb,lines,selectors,important_count,css_import_count,import_order,risk_score,risk_level,risk_reasons
styles/legacy/02l-legacy-wizard-table-quicklinks-installments.css,legacy-split,Tables,6013,5.87,190,87,0,0,44,6,medium,legacy CSS split from historical monolith; medium selector surface; active imported CSS
styles/legacy/02m-legacy-accessibility-focus-transition-base.css,legacy-split,General/System,302,0.29,11,2,0,0,45,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/02n-legacy-customers-hero-toolbar.css,legacy-split,Customers,1724,1.68,39,26,0,0,46,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/02o-legacy-telegram-link-modal.css,legacy-split,"Telegram, Modals",13916,13.59,370,87,1,0,47,8,high,legacy CSS split from historical monolith; medium selector surface; sensitive UI/business domain; active imported CSS
styles/legacy/02p-legacy-people-action-buttons-chips.css,legacy-split,"People, Buttons",1124,1.1,31,21,0,0,48,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/03a-legacy-action-primitives-buttons.css,legacy-split,Buttons,2327,2.27,110,18,0,0,49,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/03b-legacy-report-tools-pagination.css,legacy-split,Reports,615,0.6,46,12,0,0,50,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/legacy/03c-legacy-form-empty-density.css,legacy-split,General/System,2322,2.27,120,25,0,0,51,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/03d-legacy-premium-tabs-inventory-detail.css,legacy-split,Inventory,6862,6.7,336,68,0,0,52,6,medium,legacy CSS split from historical monolith; medium selector surface; active imported CSS
styles/legacy/03e-legacy-sidebar-transparent-cleanup.css,legacy-split,Sidebar,1889,1.84,67,10,20,0,53,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/legacy/03f-legacy-header-search-password-fixes.css,legacy-split,Header,4077,3.98,173,24,39,0,54,8,high,legacy CSS split from historical monolith; high !important count; sensitive UI/business domain; active imported CSS
styles/legacy/03g-legacy-dark-tables-loading-progress.css,legacy-split,Tables,6764,6.61,254,50,0,0,55,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/04a-legacy-repairs-saved-views-inputs.css,legacy-split,"Forms/Inputs, Repairs",1711,1.67,60,9,5,0,56,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/04b-legacy-premium-data-chart-shell.css,legacy-split,Charts,2788,2.72,119,37,0,0,57,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/04c-legacy-motion-focus-accessibility.css,legacy-split,General/System,4364,4.26,159,18,5,0,58,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/04d-legacy-field-attention-page-actions.css,legacy-split,Forms/Inputs,1710,1.67,78,14,2,0,59,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/05a-legacy-button-icon-baseline.css,legacy-split,Buttons,1837,1.79,88,11,0,0,60,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/05b-legacy-quick-link-cards.css,legacy-split,General/System,1495,1.46,66,10,0,0,61,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/05c-legacy-unified-button-hardening.css,legacy-split,Buttons,2437,2.38,119,18,0,0,62,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/05d-legacy-report-filter-sales-mobile-buttons.css,legacy-split,"Reports, Sales/Cart, Buttons, Filters",1378,1.35,63,7,0,0,63,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
