selector,occurrences,file_count,files
.ux-btn__label,6,4,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/01b-people-foundation-after-fields.css
.ux-pagination-btn,6,4,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
.ledger-actions-row,6,4,styles/components/unified-buttons.css | styles/runtime-overrides/01a5-partner-command-detail-refinement.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/10b-finance-tables-density-system.css
.sidebar,6,3,styles/layout/sidebar.css | styles/legacy-monolith.css | styles/layout/sidebar-chrome.css
.app-select,6,3,styles/components/cards.css | styles/legacy-monolith.css | styles/components/unified-fields.css
.premium-kpi-card,6,3,styles/components/cards.css | styles/legacy-monolith.css | styles/components/badges.css
#telegram-settings-form .tg-apple-check-row,6,3,styles/pages/telegram.css | styles/runtime-overrides/09a-telegram-settings-foundation.css | styles/runtime-overrides/09b-telegram-control-center-monitoring.css
.modal-body-premium,6,3,styles/legacy-monolith.css | styles/components/forms.css | styles/components/modals.css
.phone-edit-horizontal-form .phone-identity-block--edit .phone-identity-block__grid,6,3,styles/legacy-monolith.css | styles/components/unified-fields.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
.phone-edit-horizontal-form .phone-finance-block--edit .phone-finance-block__grid,6,3,styles/legacy-monolith.css | styles/components/unified-fields.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
.phone-edit-horizontal-form .phone-identity-block--edit .phone-identity-block__grid > *,6,3,styles/legacy-monolith.css | styles/components/unified-fields.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
.phone-edit-horizontal-form .phone-finance-block--edit .phone-finance-block__grid > *,6,3,styles/legacy-monolith.css | styles/components/unified-fields.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
.people-stats-grid,6,3,styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/02e-people-commercial-redesign.css | styles/runtime-overrides/04b-people-list-unification.css
.partners-table-shell th,6,3,styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/07f-cross-module-density-pass.css | styles/runtime-overrides/08d-people-table-detail-contracts.css
.phone-addable-autocomplete,6,3,styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/03b-reports-mobile-settings-smoke.css | styles/runtime-overrides/05-mobile-phones.css
