selector,body_variants,definitions,files
".partners-table-shell th:nth-child(4), .partners-table-shell td:nth-child(4)",3,3,07f-cross-module-density-pass.css | 08d-people-table-detail-contracts.css
".people-action-btn, .partners-action-btn",3,3,01a1-people-table-action-baseline.css | 01a2-people-page-hero-lists.css
.people-customers-shell .customers-hero-quickstats,3,3,08c-customers-partners-headers.css
".people-detail-apple :where(.customer-detail-actions, .partner-detail-actions)",3,3,04c-people-detail-pages.css
".people-filter-chip, .partners-filter-chip",3,3,01a4-people-detail-repair-header-filters.css | 01a6-detail-kpi-filter-icon-system.css | 04b-people-list-unification.css
.people-finance-modal__balance,3,3,04e-people-finance-transaction-modals.css | 08d-people-table-detail-contracts.css
.people-ledger-type-card,3,3,04e-people-finance-transaction-modals.css | 08e-finance-modal-polish.css
".people-stat-card, .partners-stat-card",3,3,01a2-people-page-hero-lists.css | 04b-people-list-unification.css
.people-zero-state__actions,3,3,04a-people-empty-states.css
.phone-addable-autocomplete:focus-within,3,3,01b-people-foundation-after-fields.css | 03b-reports-mobile-settings-smoke.css
.phone-card-actions .ux-btn:not(.w-9),3,3,07b-products-modal-responsive-polish.css
".phone-card-spec-pill__value, .phone-table-spec-pill__value",3,3,07a-products-modal-precision-cleanup.css | 07b-products-modal-responsive-polish.css
.phone-card-surface,3,3,07b-products-modal-responsive-polish.css
.phone-card-surface > .p-3\.5,3,3,07b-products-modal-responsive-polish.css
.phone-inventory-table-v2 .phone-table-actions-menu,3,3,05-mobile-phones.css | 06a-enterprise-actions-fields-validation.css
".phone-inventory-table-v2 th, .phone-inventory-table-v2 td",3,3,05-mobile-phones.css | 06a-enterprise-actions-fields-validation.css
".phone-inventory-table-v2 th:nth-child(1), .phone-inventory-table-v2 td:nth-child(1)",3,3,05-mobile-phones.css | 06a-enterprise-actions-fields-validation.css | 06e-accessibility-rtl-targeted-fixes.css
.phone-list-apple-head,3,3,05-mobile-phones.css
.phone-register-submitbar > div:last-child,3,3,05-mobile-phones.css
.phone-table-action-btn i,3,3,06e-accessibility-rtl-targeted-fixes.css | 07a-products-modal-precision-cleanup.css
.premium-modal-shell .app-field-feedback,3,3,07a-products-modal-precision-cleanup.css | 07b-products-modal-responsive-polish.css
.premium-modal-shell .premium-helper-inline,3,3,07a-products-modal-precision-cleanup.css | 07b-products-modal-responsive-polish.css
".premium-modal-shell :where(.inventory-premium-input, .inventory-premium-select, .modal-control-premium)",3,3,07a-products-modal-precision-cleanup.css | 07b-products-modal-responsive-polish.css
.report-date-preset-chip,3,3,01b-people-foundation-after-fields.css
.report-date-presets__label,3,3,01b-people-foundation-after-fields.css
.report-kpi-definition-note__grid,3,3,06c-reports-consolidation-filters.css
.settings-data-panel .backup-file-action,3,3,06d-kpi-navigation-density-mobile.css
.settings-sidebar .settings-tab-icon,3,3,01a3-settings-adaptive-sidebar-cleanup.css | 01b-people-foundation-after-fields.css
:root,3,3,07a-products-modal-precision-cleanup.css | 08a-unified-table-actions.css
"html.dark .app-sidebar .ux-sidebar-list .sidebar-nav-row[data-sidebar-active=""true""]",3,3,03e-sidebar-settings-dashboard-root-fixes.css | 10f-sidebar-final-polish.css
".app-sidebar .ux-sidebar-list .sidebar-nav-row[data-sidebar-active=""true""] > span:last-child",2,3,03e-sidebar-settings-dashboard-root-fixes.css | 09a-telegram-settings-foundation.css | 10f-sidebar-final-polish.css
.dark #telegram-settings-form .telegram-monitor-v2-action__value,2,3,09d7-telegram-monitor-card-standard.css | 09d8-telegram-monitor-size-placement-contract.css
".partners-table-shell th:nth-child(5), .partners-table-shell td:nth-child(5)",2,3,07f-cross-module-density-pass.css | 08d-people-table-detail-contracts.css
.phone-register-submitbar,2,3,05-mobile-phones.css
.report-date-presets,2,3,01b-people-foundation-after-fields.css
"#products-print-area .product-list-table th, #products-print-area .product-list-table td",2,2,07e-product-list-table-density.css
"#products-print-area .product-list-table th:nth-child(4), #products-print-area .product-list-table td:nth-child(4), #products-print-area .product-list-table th:nth-child(5), #products-print-area .product-list-table td:nth-child(5)",2,2,07e-product-list-table-density.css
"#products-print-area .product-list-table th:nth-child(6), #products-print-area .product-list-table td:nth-child(6)",2,2,07e-product-list-table-density.css
"#products-print-area .product-list-table th:nth-child(7), #products-print-area .product-list-table td:nth-child(7)",2,2,07e-product-list-table-density.css
"#products-print-area .product-list-table th:nth-child(8), #products-print-area .product-list-table td:nth-child(8)",2,2,07e-product-list-table-density.css
#telegram-settings-form .telegram-accordion-header__actions,2,2,09e-telegram-accordion-logs-modals.css
#telegram-settings-form .telegram-accordion-header__badge,2,2,09e-telegram-accordion-logs-modals.css
#telegram-settings-form .telegram-accordion-header__icon,2,2,09e-telegram-accordion-logs-modals.css
#telegram-settings-form .telegram-accordion-header__identity,2,2,09e-telegram-accordion-logs-modals.css
#telegram-settings-form .telegram-accordion-header__metric span,2,2,09e-telegram-accordion-logs-modals.css
#telegram-settings-form .telegram-accordion-header__metric strong,2,2,09e-telegram-accordion-logs-modals.css
#telegram-settings-form .telegram-accordion-panel__header,2,2,09e-telegram-accordion-logs-modals.css
#telegram-settings-form .telegram-field-heading,2,2,09c-telegram-template-center-cards.css
"#telegram-settings-form .telegram-monitor-score, #telegram-settings-form .telegram-monitor-v2-score",2,2,09b-telegram-control-center-monitoring.css
#telegram-settings-form .telegram-monitor-section-v2,2,2,09b-telegram-control-center-monitoring.css
"#telegram-settings-form .telegram-monitor-smart-grid, #telegram-settings-form .telegram-monitor-v2-actions-grid",2,2,09b-telegram-control-center-monitoring.css
"#telegram-settings-form .telegram-monitor-v2-action, #telegram-settings-form .telegram-monitor-v2-checkcard",2,2,09b-telegram-control-center-monitoring.css | 09c-telegram-template-center-cards.css
"#telegram-settings-form .telegram-monitor-v2-action__label, #telegram-settings-form .telegram-monitor-v2-action__value",2,2,09d1-telegram-studio-filter-controls.css | 09d3-telegram-monitor-title-value-layout.css
